,publish_date,video_id,channel_id,collection_date
0,2018-08-24 21:04:40.000000,ZqgDxaMctvE,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.782610
1,2018-08-18 07:39:06.000000,2VHqpy0V9qs,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.782610
2,2018-05-02 02:23:54.000000,Z3T5gQJ6_Vc,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.782610
3,2018-03-30 03:19:48.000000,VAx_cxYbTtQ,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.782610
4,2018-03-22 18:36:49.000000,_bHiZbqCC70,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
5,2018-02-26 13:40:31.000000,qMKKnBZJGF4,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
6,2018-01-18 23:36:58.000000,53FfDKgLMn8,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
7,2018-01-17 08:15:22.000000,8kTkMS5SxhU,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
8,2017-11-24 00:17:58.000000,BYF_gIrSMlU,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
9,2017-11-15 02:46:47.000000,d4Y-4kMScdA,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
10,2017-10-28 05:52:12.000000,xI1xBwly5e4,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
11,2017-09-10 10:46:54.000000,73KkLu2X6SI,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
12,2017-09-05 20:33:27.000000,tsUmV0wNXlc,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
13,2017-07-28 14:59:19.000000,wAlwBVGqqZQ,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
14,2017-07-26 13:11:07.000000,jigRGvkGSOk,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
15,2017-07-14 21:29:45.000000,aqqEcqvKq_g,UCLJkNhB1Eg_mXx0quUju0Og,2018-11-02 14:57:57.783617
