"","media_url","channel_id"
"107","nationalinterest.org","UCJDFtONBF1hIwohp7F5xvjQ"
"108","nationaljournal.com","UC0PenCUwLpNqw_-TqCZb-5g"
"109","nationalreview.com","UCun4tg1BecN4PuxwZ6mL3NA"
"110","nbcnews.com","UCeY0bbntWzzVIaj2z3QigXg"
"111","nymag.com","UCJNMUA0J-hgaTmiNEYZf2Jw"
"112","observer.com",""
"113","newsone.com",""
"114","newsweek.com","UC2a35q7eyzkfoIusBzdH4Hw"
"115","newsmax.com","UCx6h-dWzJ5NpAlja1YsApdg"
"116","niemanlab.org",""
"117","nowthisnews.com","UCn4sPeUomNGIr26bElVdDYg"
"118","npr.org","UCJnS2EsPfv46u1JR8cnD0NA"
"119","oann.com","UCNbIDJNNgaRrXOD7VllIMRQ"
"120","ozy.com","UCyF0994XbriKL_Vss0fTUMw"
"121","psmag.com",""
"122","palmerreport.com",""
"123","pbs.org","UCgyeJxD05YnoDquRMNBfBqw"
"124","pewresearch.org","UCwbQkZf9gjqDvbK4_H6qAOw"
"125","pjmedia.com","UCWq53_f3zgMcWuE-XFKSpyQ"
"126","thepoliticalinsider.com","UC6b9_V1wIz7zK3x2Lqo9zCQ"
"127","politico.com","UCgjtvMmHXbutALaw9XzRkAg"
"128","politicususa.com","UCRDvr6eCqkvN8SoZLGc_PGQ"
"129","politifact.com","UCfyYK3GqcotDIAjcoReK3Hg"
"130","poynter.org","UCXiPS-hRRbycfMWkwM60ThQ"
"131","projectveritas.com","UCL9PlYkRD3Q-RZca6CCnPKw"
"132","projectveritasaction.com","UCEE8w-v6Gg4j3ze3oX-urEw"
"133","propublica.org","UCtCL58_DaVdVRmev3yHK7pg"
"134","publicpolicypolling.com",""
"135","qz.com","UC9f78Z5hgtDt0n8JWyfBk8Q"
"136","poll.qu.edu",""
"137","rare.us","UCcotBOxogl9uWq2XIt08pBA"
"138","rasmussenreports.com",""
"139","rawstory.com","UCCtRnlUnflmKQ5GHeyu28FQ"
"140","realclearpolitics.com",""
"141","reason.com","UC0uVZd8N7FfIZnPu0y7o95A"
"142","redstate.com",""
"143","reuters.com",""
"144","reuters.tv","UCZXKpteKdYb7JaeFRFmz9Rg"
"145","revealnews.org","UCdmqkUIfXt2cMBOLQsijMFg"
"146","reverbpress.com","UCP7revNx7zU5_-Yr7Urn5nw"
"147","rsbn.tv","UCHqC-yWZ1kri4YzwRSt6RGQ"
"148","rightwingnews.com",""
"149","rightwingwatch.org","UCMXqRHe8n1TX5iDvkLS62rw"
"150","rt.com","UCpwvZwUam-URkxB7g4USKpg"
"151","salon.com","UC-JSIhoXcKetaEeYOpvwcIQ"
"152","shareblue.com","UCWYaThWSZT8e4cNCTjcO73A"
"153","slate.com","UCYC4ijpFZY_CtdElWFyy-Gg"
"154","snopes.com",""
"155","splcenter.org","UCJqloayL-p1TP4Ed_fr53CA"
"156","splinternews.com","UC4cCsgbPuRZG6LvRmCPjXgg"
"157","stripes.com","UC1Utuis1zRoHDvkeAn9pPRg"
"158","stream.org",""
"159","talkingpointsmemo.com","UCTcCX_XY4l-W2ba5IxIRhsg"
"160","taskandpurpose.com","UCSq3p5NKEtyp5Rjd4ctiEbg"
"161","noticiastelemundo.com","UCRwA1NUcUnwsly35ikGhp0A"
"162","theatlantic.com","UCK0z0_5uL7mb9IjntOKi5XQ"
"163","thebaffler.com",""
"164","theblaze.com","UCKgJEs_v0JB-6jWb8lIy9Xw"
"165","publicintegrity.org","UC15_VPYQCnOZU4crj7g8aIA"
"166","theconversation.com",""
"167","thedailybanter.com",""
"168","thedailybeast.com","UC7qZ_e097NBkgOljy1joVRA"
"169","dailycaller.com","UCfDdlNLRVb1h3_7Xh-WhL3w"
"170","dailydot.com","UCGRcmA3DQ9vVCx6MU9HpMSg"
"171","dailysignal.com","UCHqkXbgqrDrDVInBMSoGQgQ"
"172","economist.com","UC0p5jTq6Xx_DosDFxVXnWaQ"
"173","theguardian.com","UCHpw8xwDNhU9gdohEcJu4aA"
"174","thehill.com",""
"175","theintercept.com","UCv002AUCZaPNwiADqwchijg"
"176","themarshallproject.org","UCJ-BnB_ANzMZ7TPXZBk3ouw"
"177","mclaughlin.com",""
"178","thenation.com","UCDGECor7yw2AkrgAcHkcJxQ"
"179","nypost.com","UCrvhNP_lWuPIP6QZzJmM-bw"
"180","newrepublic.com",""
"181","newyorker.com","UCsD-Qms-AkXDrsU962OicLw"
"182","theonion.com","UCfAOh2t5DpxVrgS9NQKjC7A"
"183","politichicks.com","UCDESdSXe3Y0YhercgjrzVYQ"
"184","progressive.org",""
"185","therealnews.com","UCrmm_7RDZJeQzq2-wvmjueg"
"186","theresurgent.com",""
"187","therightscoop.com","UCODEEYbi1VyuroX_B3QscFQ"
"188","theroot.com","UCg5bOg1qVoZ2JDJ7MmjY63A"
"189","voanews.com","UCVSNOxehfALut52NbkfRBaA"
"190","theweek.com","UCbRtCANBmy3M81I7w-1tWag"
"191","weeklystandard.com","UCwiy9gKdsGxxOyJl38guRlQ"
"192","tytnetwork.com","UC1yBKRuGpC1tSM73A0ZjYjQ"
"193","thinkprogress.org","UCYdasX3ym3E5r1iozVllmzA"
"194","time.com","UC8Su5vZCXWRag13H53zWVwA"
"195","townhall.com","UCCj2OE6mkIuPY3vP4pazmqQ"
"196","truepundit.com","UCKrI9B_bHhBczXVV3hOI2mw"
"197","truthdig.com","UCJoETvJ0a2zVRFzj02MzmLw"
"198","truth-out.org","UCCZ4F8iGWpWh7eOi1v8wTTg"
"199","twitchy.com",""
"200","upi.com",""
"201","univision.com","UC32TdiIsh_5X8tKr_9rKQyA"
"202","usnews.com","UCz6ByNrnSVKTyxRV3Y9Rf7Q"
"203","usatoday.com","UCP6HGa63sBC7-KHtkme-p-g"
"204","vanityfair.com","UCIsbLox_y9dCIMLd8tdC6qg"
"205","vice.com","UCn8zNIfYAQNdrFRrr8oibKw"
"206","vox.com","UCLXo7UDZvByw2ixzpQCufnA"
"207","washingtonexaminer.com","UCB1N5ioatSnMRHVyobA0aNQ"
"208","freebeacon.com","UCdn-M_vxWEK07X3t19ximDQ"
"209","washingtonmonthly.com",""
"210","washingtonpost.com","UCHd62-u_v4DvJ8TCFtpi4GA"
"211","westernjournal.com","UCa2gbBXGeGh-Pdtugdg_qcQ"
"212","worldaffairsjournal.org",""
"213","worldpoliticsreview.com",""
"214","wn.com",""
"215","washingtontimes.com","UCsCE4IMMFuwPYbwDqaz7udQ"
"216","wnd.com","UC6wUoQ_2m65KvqtHU75I0XQ"
"217","wsws.org","UCwQKTzuzDIazT37whnR0lqQ"
"218","yahoo.com","UCF7hznHog_lCTbwxjj1jrPg"
"219","nytimes.com","UCqnbDFdCpuN8CMEg0VuEBqA"
"220","wsj.com","UCK7tptUDHh-RYDsdxO1-5QQ"
