,publish_date,video_id,channel_id,collection_date
0,2019-02-27 17:25:46.000000,lZA8CAEfjpU,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
1,2019-02-26 14:26:08.000000,hCTE_vhTERM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
2,2019-02-22 16:42:01.000000,tw3ebrh2j88,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
3,2019-02-19 16:57:10.000000,Ea2ntXnCD_M,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
4,2019-02-14 14:52:47.000000,XL11CneuRsQ,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
5,2019-02-08 19:11:43.000000,DrNlKIuJtAE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
6,2019-02-12 14:49:32.000000,mdL8VCcN0IE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
7,2019-02-07 19:50:52.000000,AVfU4mNHLfs,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
8,2019-02-01 19:07:41.000000,violABv826U,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
9,2019-01-31 18:19:21.000000,m-SaRDG6V-s,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
10,2019-02-05 14:21:21.000000,yiXjiJ5GSoM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
11,2019-01-29 14:21:51.000000,UIpJXfNPqVA,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
12,2019-01-25 17:34:40.000000,VF2CP79sJak,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
13,2019-01-24 19:48:08.000000,tyLqWYMOPa4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
14,2019-01-23 19:54:33.000000,p9kchrpx634,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
15,2019-01-22 16:38:35.000000,hnSNVFa6eZM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
16,2019-01-15 16:07:39.000000,qkVsjDExLEc,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
17,2019-01-11 19:49:15.000000,WCmO_y-0YdY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
18,2019-01-08 14:14:30.000000,8rbq8Nl9pvI,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
19,2019-01-04 17:23:36.000000,kZoIlz2y4Cw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
20,2018-12-27 17:48:00.000000,ExgxwKnH8y4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
21,2018-12-21 20:04:30.000000,AzqTKfzhwJc,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
22,2019-01-02 14:34:22.000000,hYA4eYR-Aoo,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
23,2018-12-21 20:28:12.000000,zAvWRgF8Sj0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.297662
24,2018-12-21 02:03:57.000000,ODRgJuG_VJI,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
25,2018-12-19 17:51:30.000000,Oxm8WXe-Y-0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
26,2018-12-19 22:45:41.000000,Qhl2a6tEY40,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
27,2018-12-19 01:43:03.000000,PrzZfaikZH8,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
28,2018-12-18 01:45:02.000000,aR1rbyKUYoM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
29,2018-12-14 16:05:48.000000,DyFCfIqTUpY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
30,2018-12-18 14:07:20.000000,0-JpwP_fhYw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
31,2018-12-12 15:54:45.000000,0UaGu6A2f68,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
32,2018-12-13 16:56:51.000000,NOlNvaCS4VE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
33,2018-12-11 14:05:57.000000,fgrRM23td_E,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
34,2018-12-03 19:58:40.000000,zt-dwkCL1NE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
35,2018-12-04 14:43:39.000000,nIzFw09ySAM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
36,2018-11-30 16:57:18.000000,mzPKk19t3Kw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
37,2018-11-28 20:18:51.000000,6txH9Xj4ULY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
38,2018-11-27 14:24:22.000000,qwa9BloFLOE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
39,2018-11-26 18:14:17.000000,nMsCVwbEleg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
40,2018-11-21 20:21:06.000000,OjGZSoD6jmE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.298659
41,2018-11-19 15:23:15.000000,4prGdZozFb0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.299666
42,2018-11-20 14:47:50.000000,vCRuPVDVDZA,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.299666
43,2018-11-14 23:02:28.000000,CcVQfVbs3yU,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.299666
44,2018-11-16 15:01:42.000000,tJtb9Rn4SqI,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.299666
45,2018-11-13 15:31:56.000000,wJXOQ9fUIdA,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.299666
46,2018-11-09 15:13:29.000000,G6qfWJjvN2I,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.299666
47,2018-11-06 00:48:28.000000,ZZkkXkUReDg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.299666
48,2018-11-02 20:20:40.000000,g6HX1-Qizmw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.299666
49,2018-10-29 18:58:48.000000,1SLKi5Z3JR8,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.299666
50,2018-10-26 16:35:55.000000,gTxxW8TNuRY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
51,2018-10-25 16:33:06.000000,B2wgkp2CYYc,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
52,2018-10-19 15:29:44.000000,4QZE0PZ0mmM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
53,2018-10-23 14:30:35.000000,0lxD-gikpMs,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
54,2018-10-17 13:56:00.000000,kxET4C8B0nw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
55,2018-10-11 13:56:37.000000,0fsVI3EmUnQ,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
56,2018-10-10 17:35:37.000000,uyraC7ajsfg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
57,2018-10-09 14:12:16.000000,ACXTTfE4GxM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
58,2018-10-05 16:03:47.000000,t_FzFtP_Lo4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
59,2018-10-02 14:38:39.000000,E2yzW5lXzrw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
60,2018-10-03 16:48:00.000000,rw7PUrgU3N0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
61,2018-09-28 19:33:03.000000,JP8Nqv3PF0k,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:04.667752
